subset_models,subset_settings,files,consistency_rate,accuracy_BytedTsinghua-SIA/DAPO-Qwen-32B,accuracy_Qwen/QwQ-32B,accuracy_open-thoughts/OpenThinker-7B,accuracy_openai/gpt-oss-20b-high,accuracy_openai/gpt-oss-20b-low,accuracy_openai/gpt-oss-20b-medium
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-low')","('open-thoughts_openthinker-7bComplete Thought Transfer', 'open-thoughts_openthinker-7bComplete Thought Transfer')","('outputs/open-thoughts_OpenThinker-7B_thoughts_to_open-thoughts_OpenThinker-7B_zero_shot.jsonl', 'outputs/open-thoughts_OpenThinker-7B_thoughts_to_openai_gpt-oss-20b_zero_shot_low.jsonl')",0.7,,,0.12,,0.22,
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-low')","('bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer', 'bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_open-thoughts_OpenThinker-7B_zero_shot.jsonl', 'outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_openai_gpt-oss-20b_zero_shot_low.jsonl')",0.85,,,0.36,,0.4,
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-low')","('Ensembled Thought Without Answer V2', 'Ensembled Thought Without Answer V2')","('outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_without_answer_alternate.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_without_answer_alternate.jsonl')",0.34,,,0.33,,0.38,
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-low')","('original', 'original')","('outputs/open-thoughts_OpenThinker-7B_zero_shot_original.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_original_low.jsonl')",0.26,,,0.22,,0.49,
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-medium')","('Ensembled Thought V2', 'Ensembled Thought V2')","('outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_merged_outputs_alternate.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_alternate.jsonl')",0.36,,,0.38,,,0.4
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-medium')","('Empty Thought', 'Empty Thought')","('outputs/open-thoughts_OpenThinker-7B_zero_shot_empty.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_empty.jsonl')",0.24,,,0.25,,,0.44
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-medium')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_without_answer_merged_output.jsonl')",0.51,,,0.33,,,0.36
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-medium')","('Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_merged_output.jsonl')",0.62,,,0.38,,,0.43
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-medium')","('Ensembled Thought Without Answer V2', 'Ensembled Thought Without Answer V2')","('outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_without_answer_alternate.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_without_answer_alternate.jsonl')",0.35,,,0.33,,,0.4
"('open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-medium')","('original', 'original')","('outputs/open-thoughts_OpenThinker-7B_zero_shot_original.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_original_medium.jsonl')",0.21,,,0.22,,,0.48
"('openai/gpt-oss-20b-high', 'openai/gpt-oss-20b-low')","('Empty Thought', 'Empty Thought')","('outputs/openai_gpt-oss-20b_zero_shot_high_empty.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_empty.jsonl')",0.47,,,,0.45,0.45,
"('openai/gpt-oss-20b-high', 'openai/gpt-oss-20b-low')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/openai_gpt-oss-20b_zero_shot_high_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_without_answer_merged_output.jsonl')",0.74,,,,0.37,0.41,
"('openai/gpt-oss-20b-high', 'openai/gpt-oss-20b-low')","('Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/openai_gpt-oss-20b_zero_shot_high_ensembled_thought_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_merged_output.jsonl')",0.77,,,,0.41,0.44,
"('openai/gpt-oss-20b-high', 'openai/gpt-oss-20b-low')","('original', 'original')","('outputs/openai_gpt-oss-20b_zero_shot_original_high.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_original_low.jsonl')",0.5,,,,0.47,0.49,
"('openai/gpt-oss-20b-high', 'openai/gpt-oss-20b-medium')","('Empty Thought', 'Empty Thought')","('outputs/openai_gpt-oss-20b_zero_shot_high_empty.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_empty.jsonl')",0.56,,,,0.45,,0.44
"('openai/gpt-oss-20b-high', 'openai/gpt-oss-20b-medium')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/openai_gpt-oss-20b_zero_shot_high_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_without_answer_merged_output.jsonl')",0.78,,,,0.37,,0.36
"('openai/gpt-oss-20b-high', 'openai/gpt-oss-20b-medium')","('Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/openai_gpt-oss-20b_zero_shot_high_ensembled_thought_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_merged_output.jsonl')",0.81,,,,0.41,,0.43
"('openai/gpt-oss-20b-high', 'openai/gpt-oss-20b-medium')","('original', 'original')","('outputs/openai_gpt-oss-20b_zero_shot_original_high.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_original_medium.jsonl')",0.57,,,,0.47,,0.48
"('openai/gpt-oss-20b-low', 'openai/gpt-oss-20b-medium')","('Ensembled Thought V2', 'Ensembled Thought V2')","('outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_merged_outputs_alternate.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_alternate.jsonl')",0.92,,,,,0.4,0.4
"('openai/gpt-oss-20b-low', 'openai/gpt-oss-20b-medium')","('Empty Thought', 'Empty Thought')","('outputs/openai_gpt-oss-20b_zero_shot_low_empty.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_empty.jsonl')",0.48,,,,,0.45,0.44
"('openai/gpt-oss-20b-low', 'openai/gpt-oss-20b-medium')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_without_answer_merged_output.jsonl')",0.8,,,,,0.41,0.36
"('openai/gpt-oss-20b-low', 'openai/gpt-oss-20b-medium')","('Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_merged_output.jsonl')",0.86,,,,,0.44,0.43
"('openai/gpt-oss-20b-low', 'openai/gpt-oss-20b-medium')","('Ensembled Thought Without Answer V2', 'Ensembled Thought Without Answer V2')","('outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_without_answer_alternate.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_without_answer_alternate.jsonl')",0.86,,,,,0.38,0.4
"('openai/gpt-oss-20b-low', 'openai/gpt-oss-20b-medium')","('original', 'original')","('outputs/openai_gpt-oss-20b_zero_shot_original_low.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_original_medium.jsonl')",0.46,,,,,0.49,0.48
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'open-thoughts/OpenThinker-7B')","('Ensembled Thought V2', 'Ensembled Thought V2', 'Ensembled Thought V2')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_alternate.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_merged_outputs_alternate.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_merged_outputs_alternate.jsonl')",0.33,0.38,0.41,0.38,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'open-thoughts/OpenThinker-7B')","('Empty Thought', 'Empty Thought', 'Empty Thought')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_empty.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_empty.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_empty.jsonl')",0.25,0.39,0.4,0.25,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'open-thoughts/OpenThinker-7B')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl')",0.59,0.42,0.41,0.33,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'open-thoughts/OpenThinker-7B')","('Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_merged_output.jsonl')",0.62,0.43,0.42,0.38,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'open-thoughts/OpenThinker-7B')","('open-thoughts_openthinker-7bComplete Thought Transfer', 'open-thoughts_openthinker-7bComplete Thought Transfer', 'open-thoughts_openthinker-7bComplete Thought Transfer')","('outputs/open-thoughts_OpenThinker-7B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/open-thoughts_OpenThinker-7B_thoughts_to_Qwen_QwQ-32B_zero_shot.jsonl', 'outputs/open-thoughts_OpenThinker-7B_thoughts_to_open-thoughts_OpenThinker-7B_zero_shot.jsonl')",0.7,0.22,0.22,0.12,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'open-thoughts/OpenThinker-7B')","('qwen_qwq-32bComplete Thought Transfer', 'qwen_qwq-32bComplete Thought Transfer', 'qwen_qwq-32bComplete Thought Transfer')","('outputs/Qwen_QwQ-32B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/Qwen_QwQ-32B_thoughts_to_Qwen_QwQ-32B_zero_shot.jsonl', 'outputs/Qwen_QwQ-32B_thoughts_to_open-thoughts_OpenThinker-7B_zero_shot.jsonl')",0.95,0.35,0.35,0.35,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'open-thoughts/OpenThinker-7B')","('bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer', 'bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer', 'bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_Qwen_QwQ-32B_zero_shot.jsonl', 'outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_open-thoughts_OpenThinker-7B_zero_shot.jsonl')",0.87,0.4,0.41,0.36,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'open-thoughts/OpenThinker-7B')","('openai_gpt-oss-20bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer')","('outputs/openai_gpt-oss-20b_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_medium.jsonl', 'outputs/openai_gpt-oss-20b_thoughts_to_Qwen_QwQ-32B_zero_shot_medium.jsonl', 'outputs/openai_gpt-oss-20b_thoughts_to_open-thoughts_OpenThinker-7B_zero_shot_medium.jsonl')",0.91,0.47,0.48,0.44,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'open-thoughts/OpenThinker-7B')","('original', 'original', 'original')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_original.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_original.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_original.jsonl')",0.24,0.41,0.35,0.22,,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-high')","('Empty Thought', 'Empty Thought', 'Empty Thought')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_empty.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_empty.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_high_empty.jsonl')",0.35,0.39,0.4,,0.45,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-high')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_high_ensembled_thought_without_answer_merged_output.jsonl')",0.68,0.42,0.41,,0.37,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-high')","('Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_high_ensembled_thought_merged_output.jsonl')",0.71,0.43,0.42,,0.41,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-high')","('original', 'original', 'original')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_original.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_original.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_original_high.jsonl')",0.35,0.41,0.35,,0.47,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-low')","('Ensembled Thought V2', 'Ensembled Thought V2', 'Ensembled Thought V2')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_alternate.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_merged_outputs_alternate.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_merged_outputs_alternate.jsonl')",0.81,0.38,0.41,,,0.4,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-low')","('Empty Thought', 'Empty Thought', 'Empty Thought')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_empty.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_empty.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_empty.jsonl')",0.32,0.39,0.4,,,0.45,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-low')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_without_answer_merged_output.jsonl')",0.78,0.42,0.41,,,0.41,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-low')","('qwen_qwq-32bComplete Thought Transfer', 'qwen_qwq-32bComplete Thought Transfer', 'qwen_qwq-32bComplete Thought Transfer')","('outputs/Qwen_QwQ-32B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/Qwen_QwQ-32B_thoughts_to_Qwen_QwQ-32B_zero_shot.jsonl', 'outputs/Qwen_QwQ-32B_thoughts_to_openai_gpt-oss-20b_zero_shot_low.jsonl')",0.95,0.35,0.35,,,0.35,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-low')","('Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_merged_output.jsonl')",0.79,0.43,0.42,,,0.44,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-low')","('open-thoughts_openthinker-7bComplete Thought Transfer', 'open-thoughts_openthinker-7bComplete Thought Transfer', 'open-thoughts_openthinker-7bComplete Thought Transfer')","('outputs/open-thoughts_OpenThinker-7B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/open-thoughts_OpenThinker-7B_thoughts_to_Qwen_QwQ-32B_zero_shot.jsonl', 'outputs/open-thoughts_OpenThinker-7B_thoughts_to_openai_gpt-oss-20b_zero_shot_low.jsonl')",0.98,0.22,0.22,,,0.22,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-low')","('bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer', 'bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer', 'bytedtsinghua-sia_dapo-qwen-32bComplete Thought Transfer')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_Qwen_QwQ-32B_zero_shot.jsonl', 'outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_thoughts_to_openai_gpt-oss-20b_zero_shot_low.jsonl')",0.94,0.4,0.41,,,0.4,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-low')","('original', 'original', 'original')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_original.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_original.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_original_low.jsonl')",0.31,0.41,0.35,,,0.49,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-medium')","('Ensembled Thought V2', 'Ensembled Thought V2', 'Ensembled Thought V2')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_alternate.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_merged_outputs_alternate.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_alternate.jsonl')",0.78,0.38,0.41,,,,0.4
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-medium')","('Empty Thought', 'Empty Thought', 'Empty Thought')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_empty.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_empty.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_empty.jsonl')",0.31,0.39,0.4,,,,0.44
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-medium')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_without_answer_merged_output.jsonl')",0.68,0.42,0.41,,,,0.36
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-medium')","('Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_medium_ensembled_thought_merged_output.jsonl')",0.82,0.43,0.42,,,,0.43
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'Qwen/QwQ-32B', 'openai/gpt-oss-20b-medium')","('original', 'original', 'original')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_original.jsonl', 'outputs/Qwen_QwQ-32B_zero_shot_original.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_original_medium.jsonl')",0.28,0.41,0.35,,,,0.48
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-high')","('Empty Thought', 'Empty Thought', 'Empty Thought')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_empty.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_empty.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_high_empty.jsonl')",0.21,0.39,,0.25,0.45,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-high')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_high_ensembled_thought_without_answer_merged_output.jsonl')",0.46,0.42,,0.33,0.37,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-high')","('Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_high_ensembled_thought_merged_output.jsonl')",0.49,0.43,,0.38,0.41,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-high')","('original', 'original', 'original')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_original.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_original.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_original_high.jsonl')",0.25,0.41,,0.22,0.47,,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-low')","('Ensembled Thought V2', 'Ensembled Thought V2', 'Ensembled Thought V2')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_alternate.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_merged_outputs_alternate.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_merged_outputs_alternate.jsonl')",0.31,0.38,,0.38,,0.4,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-low')","('Empty Thought', 'Empty Thought', 'Empty Thought')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_empty.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_empty.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_empty.jsonl')",0.22,0.39,,0.25,,0.45,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-low')","('Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought Without Answer V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_without_answer_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_without_answer_merged_output.jsonl')",0.52,0.42,,0.33,,0.41,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-low')","('qwen_qwq-32bComplete Thought Transfer', 'qwen_qwq-32bComplete Thought Transfer', 'qwen_qwq-32bComplete Thought Transfer')","('outputs/Qwen_QwQ-32B_thoughts_to_BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot.jsonl', 'outputs/Qwen_QwQ-32B_thoughts_to_open-thoughts_OpenThinker-7B_zero_shot.jsonl', 'outputs/Qwen_QwQ-32B_thoughts_to_openai_gpt-oss-20b_zero_shot_low.jsonl')",0.94,0.35,,0.35,,0.35,
"('BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'openai/gpt-oss-20b-low')","('Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')","('outputs/BytedTsinghua-SIA_DAPO-Qwen-32B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/open-thoughts_OpenThinker-7B_zero_shot_ensembled_thought_merged_output.jsonl', 'outputs/openai_gpt-oss-20b_zero_shot_low_ensembled_thought_merged_output.jsonl')",0.58,0.43,,0.38,,0.44,
