subset_settings,Consistency Rate
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'Ensembled Thought Without Answer V1', 'original')",0.29000000000000004
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.27
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'Ensembled Thought Without Answer V2')",0.335
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.31
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.32
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'Ensembled Thought Without Answer V2', 'original')",0.315
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.275
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.185
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'original')",0.315
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'original', 'Empty Thought')",0.29500000000000004
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'original', 'Ensembled Thought V1')",0.31
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16999999999999998
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'original', 'original')",0.295
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.265
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.27749999999999997
"('Ensembled Thought Without Answer V2', 'openai_gpt-oss-20bComplete Thought Transfer', 'qwen_qwq-32bComplete Thought Transfer')",0.3
"('Ensembled Thought Without Answer V2', 'original')",0.37625
"('Ensembled Thought Without Answer V2', 'original', 'Empty Thought')",0.28250000000000003
"('Ensembled Thought Without Answer V2', 'original', 'Empty Thought', 'Empty Thought')",0.24666666666666667
"('Ensembled Thought Without Answer V2', 'original', 'Empty Thought', 'Ensembled Thought V1')",0.26
"('Ensembled Thought Without Answer V2', 'original', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18333333333333335
"('Ensembled Thought Without Answer V2', 'original', 'Empty Thought', 'original')",0.24333333333333332
"('Ensembled Thought Without Answer V2', 'original', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.23
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1')",0.29555555555555557
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Empty Thought')",0.23200000000000004
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.16
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.256
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.20500000000000002
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'original')",0.22400000000000003
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'original', 'original')",0.16
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.22999999999999998
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V2')",0.3233333333333333
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V2', 'Empty Thought')",0.26666666666666666
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.2866666666666667
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.21666666666666667
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V2', 'original')",0.26333333333333336
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.25666666666666665
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V1')",0.3033333333333333
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.25666666666666665
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.29
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.21333333333333335
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V1', 'original')",0.24666666666666667
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.25
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V2')",0.31666666666666665
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.26666666666666666
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.2866666666666667
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.21333333333333335
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V2', 'original')",0.26
"('Ensembled Thought Without Answer V2', 'original', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.25333333333333335
"('Ensembled Thought Without Answer V2', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22000000000000003
"('Ensembled Thought Without Answer V2', 'original', 'original')",0.2688888888888889
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Empty Thought')",0.22199999999999998
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Empty Thought', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Empty Thought', 'Ensembled Thought V1')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Empty Thought', 'original')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V1')",0.238
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V1', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.2
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.2
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V1', 'original')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V2')",0.22
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V2', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.2
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V2', 'original')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V1')",0.21
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.2
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.21
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V1', 'original')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V2')",0.21
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.2
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.21
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V2', 'original')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'original', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.195
"('Ensembled Thought Without Answer V2', 'original', 'original', 'original')",0.21000000000000002
"('Ensembled Thought Without Answer V2', 'original', 'original', 'original', 'Empty Thought')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'original', 'original', 'Ensembled Thought V1')",0.18
"('Ensembled Thought Without Answer V2', 'original', 'original', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.19
"('Ensembled Thought Without Answer V2', 'original', 'original', 'original', 'original')",0.15
"('Ensembled Thought Without Answer V2', 'original', 'original', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'original', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.2175
"('Ensembled Thought Without Answer V2', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.268
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.43
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Empty Thought')",0.305
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Empty Thought', 'Empty Thought')",0.27
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought V1')",0.28
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Empty Thought', 'original')",0.28
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1')",0.31666666666666665
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought')",0.27
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.24
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.25
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.3
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.19
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'original')",0.27
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.25
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'original', 'original')",0.25
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.26
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.31
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V2')",0.43
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V2', 'Empty Thought')",0.31
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.31
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.21
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V2', 'original')",0.33
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.42
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V1')",0.34
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.32
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.2
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V1', 'original')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.33
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V2')",0.43
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.31
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.31
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.21
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V2', 'original')",0.33
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.42
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.24
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original')",0.32
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Empty Thought')",0.2866666666666667
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Empty Thought', 'Empty Thought')",0.27
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Empty Thought', 'Ensembled Thought V1')",0.28
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Empty Thought', 'original')",0.28
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Ensembled Thought V1')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Ensembled Thought V1', 'Empty Thought')",0.28
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.17
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Ensembled Thought V1', 'original')",0.28
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.29
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Ensembled Thought V2')",0.34
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Ensembled Thought V2', 'Empty Thought')",0.3
"('Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer', 'original', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.29
