subset_settings,BytedTsinghua-SIA/DAPO-Qwen-32B,Qwen/QwQ-32B,open-thoughts/OpenThinker-7B,openai/gpt-oss-20b-high,openai/gpt-oss-20b-low,openai/gpt-oss-20b-medium
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.41,0.49,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.41,0.44,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought V2')",0.22,0.48,0.25,0.0,0.4,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought V2', 'Empty Thought')",0.22,0.48,0.25,0.0,0.4,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.22,0.48,0.25,0.0,0.4,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.0,0.4,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought V2', 'original')",0.22,0.48,0.25,0.0,0.4,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.0,0.4,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V1')",0.22,0.48,0.25,0.0,0.41,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.22,0.48,0.25,0.0,0.41,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.22,0.48,0.25,0.0,0.41,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.0,0.41,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'original')",0.22,0.48,0.25,0.0,0.41,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.0,0.41,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V2')",0.22,0.48,0.25,0.0,0.38,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.22,0.48,0.25,0.0,0.38,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.22,0.48,0.25,0.0,0.38,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.0,0.38,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'original')",0.22,0.48,0.25,0.0,0.38,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.0,0.38,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.3933333333333333,0.38666666666666666,0.0,0.45,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original')",0.22000000000000003,0.42800000000000005,0.33199999999999996,0.47,0.46,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Empty Thought')",0.22,0.48,0.25,0.47,0.47,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Empty Thought', 'Empty Thought')",0.22,0.48,0.25,0.47,0.45,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Empty Thought', 'Ensembled Thought V1')",0.22,0.48,0.25,0.47,0.45,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.45,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Empty Thought', 'original')",0.22,0.48,0.25,0.47,0.45,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.45,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V1')",0.22,0.48,0.25,0.47,0.46499999999999997,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V1', 'Empty Thought')",0.22,0.48,0.25,0.47,0.44,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.22,0.48,0.25,0.47,0.44,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.44,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V1', 'original')",0.22,0.48,0.25,0.47,0.44,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.44,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V2')",0.22,0.48,0.25,0.47,0.4,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V2', 'Empty Thought')",0.22,0.48,0.25,0.47,0.4,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.22,0.48,0.25,0.47,0.4,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.4,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V2', 'original')",0.22,0.48,0.25,0.47,0.4,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.4,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1')",0.22,0.48,0.25,0.47,0.41,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.22,0.48,0.25,0.47,0.41,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.22,0.48,0.25,0.47,0.41,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.41,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'original')",0.22,0.48,0.25,0.47,0.41,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.41,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2')",0.22,0.48,0.25,0.47,0.38,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.22,0.48,0.25,0.47,0.38,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.22,0.48,0.25,0.47,0.38,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.38,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'original')",0.22,0.48,0.25,0.47,0.38,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.38,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.49,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'original')",0.22,0.48,0.25,0.47,0.49,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'original', 'Empty Thought')",0.22,0.48,0.25,0.47,0.49,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'original', 'Ensembled Thought V1')",0.22,0.48,0.25,0.47,0.49,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.49,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'original', 'original')",0.22,0.48,0.25,0.47,0.49,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.49,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.25,0.47,0.49,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.3933333333333333,0.38666666666666666,0.0,0.45,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1')",0.22,0.3685714285714286,0.4442857142857143,0.41,0.44,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought')",0.22,0.3825,0.43624999999999997,0.41,0.44571428571428573,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.22,0.3933333333333333,0.43,0.41,0.45,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.22,0.3933333333333333,0.43,0.41,0.45,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.3933333333333333,0.43,0.41,0.45,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.22,0.3933333333333333,0.43,0.41,0.45,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.3933333333333333,0.43,0.41,0.45,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.22,0.3933333333333333,0.43,0.41,0.44,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.22000000000000003,0.42800000000000005,0.41,0.41,0.442,0.44000000000000006
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.22,0.48,0.38,0.41,0.45,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.22,0.48,0.38,0.41,0.45,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.45,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.22,0.48,0.38,0.41,0.45,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.45,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.22000000000000003,0.42800000000000005,0.41,0.41,0.44000000000000006,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.22,0.48,0.38,0.41,0.44,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.22,0.48,0.38,0.41,0.44,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.44,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.22,0.48,0.38,0.41,0.44,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.44,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.22,0.48,0.38,0.41,0.4,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.22,0.48,0.38,0.41,0.4,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.22,0.48,0.38,0.41,0.4,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.4,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.22,0.48,0.38,0.41,0.4,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.4,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.22,0.48,0.38,0.41,0.41,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.22,0.48,0.38,0.41,0.41,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.22,0.48,0.38,0.41,0.41,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.41,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.22,0.48,0.38,0.41,0.41,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.41,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.22,0.48,0.38,0.41,0.38,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.22,0.48,0.38,0.41,0.38,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.22,0.48,0.38,0.41,0.38,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.38,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.22,0.48,0.38,0.41,0.38,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.38,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.415,0.4175,0.41,0.44,0.22000000000000003
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.22000000000000003,0.42800000000000005,0.41,0.41,0.45,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.22,0.48,0.38,0.41,0.49,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1')",0.22,0.48,0.38,0.41,0.49,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.49,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'original')",0.22,0.48,0.38,0.41,0.49,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.48,0.38,0.41,0.49,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.415,0.4175,0.41,0.44,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.22,0.3933333333333333,0.43,0.41,0.4,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.22,0.3933333333333333,0.43,0.41,0.4,0.44
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.22,0.3933333333333333,0.43,0.41,0.4,0.43
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.22,0.3933333333333333,0.43,0.41,0.4,0.22
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.22,0.3933333333333333,0.43,0.41,0.4,0.48
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22,0.3933333333333333,0.43,0.41,0.4,0.35
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.22,0.3933333333333333,0.43,0.41,0.41,0.0
"('open-thoughts_openthinker-7bComplete Thought Transfer', 'openai_gpt-oss-20bComplete Thought Transfer', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.22,0.3933333333333333,0.43,0.41,0.41,0.44
